sequence_id	specimen_id	library_id	path
49081_1_1	MA00651	MA00651_library01	"/seq/illumina/runs/49/49081/lane1/plex1/49081_1#1.cram"
49081_1_2	MA01463	MA01463_library01	"/seq/illumina/runs/49/49081/lane1/plex2/49081_1#2.cram"
49081_1_3	MA00847	MA00847_library01	"/seq/illumina/runs/49/49081/lane1/plex3/49081_1#3.cram"
49081_1_4	MA00854	MA00854_library01	"/seq/illumina/runs/49/49081/lane1/plex4/49081_1#4.cram"
49081_1_5	MA00699	MA00699_library01	"/seq/illumina/runs/49/49081/lane1/plex5/49081_1#5.cram"
49081_1_6	MA01538	MA01538_library01	"/seq/illumina/runs/49/49081/lane1/plex6/49081_1#6.cram"
49081_1_7	MA02473	MA02473_library01	"/seq/illumina/runs/49/49081/lane1/plex7/49081_1#7.cram"
49081_1_8	MA00118	MA00118_library01	"/seq/illumina/runs/49/49081/lane1/plex8/49081_1#8.cram"
49081_1_9	MA02394	MA02394_library01	"/seq/illumina/runs/49/49081/lane1/plex9/49081_1#9.cram"
49081_1_10	MA00635	MA00635_library01	"/seq/illumina/runs/49/49081/lane1/plex10/49081_1#10.cram"
49081_1_11	MA00110	MA00110_library01	"/seq/illumina/runs/49/49081/lane1/plex11/49081_1#11.cram"
49081_1_12	MA00124	MA00124_library01	"/seq/illumina/runs/49/49081/lane1/plex12/49081_1#12.cram"
49081_1_13	MA00173	MA00173_library01	"/seq/illumina/runs/49/49081/lane1/plex13/49081_1#13.cram"
49081_1_14	MA01970	MA01970_library01	"/seq/illumina/runs/49/49081/lane1/plex14/49081_1#14.cram"
49081_1_15	MA02034	MA02034_library01	"/seq/illumina/runs/49/49081/lane1/plex15/49081_1#15.cram"
49081_1_16	MA00595	MA00595_library01	"/seq/illumina/runs/49/49081/lane1/plex16/49081_1#16.cram"
49081_1_17	MA00280	MA00280_library01	"/seq/illumina/runs/49/49081/lane1/plex17/49081_1#17.cram"
49081_1_18	MA01129	MA01129_library01	"/seq/illumina/runs/49/49081/lane1/plex18/49081_1#18.cram"
49081_1_19	MA02497	MA02497_library01	"/seq/illumina/runs/49/49081/lane1/plex19/49081_1#19.cram"
49081_1_20	MA00616	MA00616_library01	"/seq/illumina/runs/49/49081/lane1/plex20/49081_1#20.cram"
49081_1_21	MA02017	MA02017_library01	"/seq/illumina/runs/49/49081/lane1/plex21/49081_1#21.cram"
50144_1_1	MA00170	MA00170_library01	"/seq/illumina/runs/50/50144/lane1/plex1/50144_1#1.cram"
50144_1_2	MA00165	MA00165_library01	"/seq/illumina/runs/50/50144/lane1/plex2/50144_1#2.cram"
50144_1_3	MA00095	MA00095_library01	"/seq/illumina/runs/50/50144/lane1/plex3/50144_1#3.cram"
